ID_REF,GSM494556,GSM494557,GSM494558,GSM494559,GSM494560
213950_s_at,4.44104,4.43025,4.23153,4.33674,4.57915
213951_s_at,6.4611,6.86416,6.50014,6.79873,7.34917
213952_s_at,4.90414,5.3092,5.07591,5.17071,5.2973
213953_at,4.2681,4.03125,4.00468,4.17869,4.10442
213954_at,3.59315,4.65712,3.7004,4.08423,3.79421
213955_at,6.97659,6.37118,7.02632,5.84398,5.98118
213956_at,9.46413,8.86789,9.26872,4.82254,4.72407
213957_s_at,5.04651,5.19247,4.82317,5.33402,5.45344
213958_at,8.22461,8.43233,9.61473,8.39404,8.31425
213959_s_at,4.77622,5.83663,4.82298,5.93747,5.7042
213960_at,5.39167,4.68589,6.71156,5.12735,5.06438
213961_s_at,4.37462,4.92268,4.39431,4.58933,4.3685
213962_s_at,4.54199,4.64621,4.88507,4.71321,4.52496
213963_s_at,5.28338,5.20643,5.38379,5.57445,5.55742
213964_x_at,3.56768,3.95238,3.80477,4.72454,4.37504
213965_s_at,6.2871,5.91731,5.96072,6.05212,6.30068
213966_at,5.33042,5.05052,5.1171,5.25256,5.21739
213967_at,4.71886,4.61447,4.59274,4.66729,4.61812
213968_at,4.80156,4.83771,4.8392,4.27226,4.4946
213969_x_at,13.1697,13.0493,13.4289,12.886,13.2635
213970_at,7.82642,8.26066,6.61225,8.40177,7.82041
213971_s_at,7.52614,8.59372,8.11955,8.20672,8.22208
213972_at,5.44412,5.10204,5.00409,5.1789,5.27311
213973_at,5.50774,5.49391,5.09911,5.3033,5.33463
213974_at,7.55123,6.37879,7.83127,6.98107,6.83195
213975_s_at,13.8194,12.8294,12.5998,10.7346,11.9449
213976_at,5.85424,5.48238,5.84263,5.3339,5.44335
213977_s_at,8.08368,8.46405,8.72017,7.00084,7.81478
213978_at,5.95779,6.14533,5.70088,5.77342,5.63666
213979_s_at,9.46673,9.78907,9.17088,8.2814,7.41517
213980_s_at,10.1991,11.2454,10.8342,11.1616,10.7351
213981_at,7.63441,8.32509,7.37983,7.97927,7.4797
213982_s_at,9.25066,8.30232,8.62644,9.64369,9.50498
213983_s_at,5.80204,7.17626,6.00105,8.05577,7.20326
213984_at,5.00985,6.1134,4.59656,7.50276,6.56777
213985_s_at,6.05751,5.5516,5.46828,5.77719,5.958
213986_s_at,5.89464,6.99578,6.33922,4.66506,5.26555
